[04-05-2026 21:54:41.136] [BidderMicroservice_66] EVENT=cycle_start | bidder_id=66, name=Bidder 66, phone=0700000066, email=bidder66@mail.ro
[04-05-2026 21:54:41.320] [BidderMicroservice_66] EVENT=bid_sent | bidder_id=66, price=1230
[04-05-2026 21:54:58.474] [BidderMicroservice_66] EVENT=auction_result | bidder_id=66, result=Licitatie pierduta...
[04-05-2026 21:54:58.492] [BidderMicroservice_66] EVENT=shutdown | bidder_id=66
[04-05-2026 21:57:26.949] [BidderMicroservice_66] EVENT=cycle_start | bidder_id=66, name=Bidder 66, phone=0700000066, email=bidder66@mail.ro
[04-05-2026 21:57:26.969] [BidderMicroservice_66] EVENT=bid_sent | bidder_id=66, price=9255
[04-05-2026 21:57:26.974] [BidderMicroservice_66] EVENT=duplicate_sent | bidder_id=66, price=9255
[04-05-2026 21:57:45.673] [BidderMicroservice_66] EVENT=shutdown | bidder_id=66
[04-05-2026 22:21:06.583] [BidderMicroservice_66] EVENT=cycle_start | bidder_id=66, name=Bidder 66, phone=0700000066, email=bidder66@mail.ro
[04-05-2026 22:21:06.610] [BidderMicroservice_66] EVENT=bid_sent | bidder_id=66, price=9255
[04-05-2026 22:21:23.744] [BidderMicroservice_66] EVENT=auction_result | bidder_id=66, result=Licitatie pierduta...
[04-05-2026 22:21:23.863] [BidderMicroservice_66] EVENT=shutdown | bidder_id=66
